Image id,Caption,Label,Source,Domain,
11,পথে পথে গ্রামীণফোন সিইও ইয়াসির আজমান-এর সাথে যখন দেখা হয়ে যায় বলরামপুরের দয়াল চন্দ্র বর্মণের।,0,,,
12,পথে পথে গ্রামীণফোন সিইও ইয়াসির আজমান-এর সাথে যখন দেখা হয়ে যায় বলরামপুরের দয়াল চন্দ্র বর্মণের।,0,,,
13,পথে পথে গ্রামীণফোন সিইও ইয়াসির আজমান-এর সাথে যখন দেখা হয়ে যায় বলরামপুরের দয়াল চন্দ্র বর্মণের।,0,,,
14,পথে পথে গ্রামীণফোন সিইও ইয়াসির আজমান-এর সাথে যখন দেখা হয়ে যায় বলরামপুরের দয়াল চন্দ্র বর্মণের।,0,,,
15,সারা মাস কানেক্টেড থাকুন গ্রামীণফোন-এর মান্থলি প্ল্যানে। মাইজিপিঅ্যাপ থেকে পছন্দের প্ল্যানটি বেছে নিতে ক্লিক করুন,1,,,
16,সারা মাস কানেক্টেড থাকুন গ্রামীণফোন-এর মান্থলি প্ল্যানে। মাইজিপিঅ্যাপ থেকে পছন্দের প্ল্যানটি বেছে নিতে ক্লিক করুন,1,,,
17,"লাখো ভক্তের প্রার্থনায় মুখরিত ওড়াকান্দি!   
২০০ বছরেরও বেশি সময় ধরে চলে আসা ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবে প্রতিবারের মতো এবারও জড়ো হয় দেশ-বিদেশ থেকে আসা লাখো ভক্ত। ভক্তদের এই মিলনমেলায় আনন্দের যেমন কোনও কমতি ছিল না, তেমনই নেটওয়ার্কটাও ছিল নিরবচ্ছিন্ন, যা সম্ভব হয়েছে গ্রামীণফোন-এর নেটওয়ার্ক কর্মীদের নিরলস প্রচেষ্টায়।
ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবের এমন মুহূর্তগুলো তুলে ধরেছেন আব রশিদ।",1,,,
18,"লাখো ভক্তের প্রার্থনায় মুখরিত ওড়াকান্দি!   
২০০ বছরেরও বেশি সময় ধরে চলে আসা ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবে প্রতিবারের মতো এবারও জড়ো হয় দেশ-বিদেশ থেকে আসা লাখো ভক্ত। ভক্তদের এই মিলনমেলায় আনন্দের যেমন কোনও কমতি ছিল না, তেমনই নেটওয়ার্কটাও ছিল নিরবচ্ছিন্ন, যা সম্ভব হয়েছে গ্রামীণফোন-এর নেটওয়ার্ক কর্মীদের নিরলস প্রচেষ্টায়।
ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবের এমন মুহূর্তগুলো তুলে ধরেছেন আব রশিদ।",1,,,
19,"লাখো ভক্তের প্রার্থনায় মুখরিত ওড়াকান্দি!   
২০০ বছরেরও বেশি সময় ধরে চলে আসা ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবে প্রতিবারের মতো এবারও জড়ো হয় দেশ-বিদেশ থেকে আসা লাখো ভক্ত। ভক্তদের এই মিলনমেলায় আনন্দের যেমন কোনও কমতি ছিল না, তেমনই নেটওয়ার্কটাও ছিল নিরবচ্ছিন্ন, যা সম্ভব হয়েছে গ্রামীণফোন-এর নেটওয়ার্ক কর্মীদের নিরলস প্রচেষ্টায়।
ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবের এমন মুহূর্তগুলো তুলে ধরেছেন আব রশিদ।",1,,,
20,"লাখো ভক্তের প্রার্থনায় মুখরিত ওড়াকান্দি!   
২০০ বছরেরও বেশি সময় ধরে চলে আসা ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবে প্রতিবারের মতো এবারও জড়ো হয় দেশ-বিদেশ থেকে আসা লাখো ভক্ত। ভক্তদের এই মিলনমেলায় আনন্দের যেমন কোনও কমতি ছিল না, তেমনই নেটওয়ার্কটাও ছিল নিরবচ্ছিন্ন, যা সম্ভব হয়েছে গ্রামীণফোন-এর নেটওয়ার্ক কর্মীদের নিরলস প্রচেষ্টায়।
ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবের এমন মুহূর্তগুলো তুলে ধরেছেন আব রশিদ।",1,,,
21,"লাখো ভক্তের প্রার্থনায় মুখরিত ওড়াকান্দি!   
২০০ বছরেরও বেশি সময় ধরে চলে আসা ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবে প্রতিবারের মতো এবারও জড়ো হয় দেশ-বিদেশ থেকে আসা লাখো ভক্ত। ভক্তদের এই মিলনমেলায় আনন্দের যেমন কোনও কমতি ছিল না, তেমনই নেটওয়ার্কটাও ছিল নিরবচ্ছিন্ন, যা সম্ভব হয়েছে গ্রামীণফোন-এর নেটওয়ার্ক কর্মীদের নিরলস প্রচেষ্টায়।
ওড়াকান্দির ঐতিহ্যবাহী এই উৎসবের এমন মুহূর্তগুলো তুলে ধরেছেন আব রশিদ।",1,,,
22,"বছর জুড়ে বাঙালি এই দিনটারই অপেক্ষায় থাকে। থাকবে না কেন! পহেলা বৈশাখ এমনই এক উৎসব যা আমাদের সবাইকে এক করে। রমনা বটমূলে প্রাণের এই মিলনমেলায় সবার আনন্দের মাঝে আমাদের নেটওয়ার্ক কর্মীরা ব্যস্ত সবার ফোনে নিরবচ্ছিন্ন নেটওয়ার্ক নিশ্চিত করতে।
পহেলা বৈশাখে ঐতিহ্যবাহী রমনা বটমূলের সুন্দর এই মুহূর্তগুলো উঠে এসেছে অনির্বাণ কায়সার-এর ক্যামেরায়!",1,,,
23,"বছর জুড়ে বাঙালি এই দিনটারই অপেক্ষায় থাকে। থাকবে না কেন! পহেলা বৈশাখ এমনই এক উৎসব যা আমাদের সবাইকে এক করে। রমনা বটমূলে প্রাণের এই মিলনমেলায় সবার আনন্দের মাঝে আমাদের নেটওয়ার্ক কর্মীরা ব্যস্ত সবার ফোনে নিরবচ্ছিন্ন নেটওয়ার্ক নিশ্চিত করতে।
পহেলা বৈশাখে ঐতিহ্যবাহী রমনা বটমূলের সুন্দর এই মুহূর্তগুলো উঠে এসেছে অনির্বাণ কায়সার-এর ক্যামেরায়!",1,,,
24,"বছর জুড়ে বাঙালি এই দিনটারই অপেক্ষায় থাকে। থাকবে না কেন! পহেলা বৈশাখ এমনই এক উৎসব যা আমাদের সবাইকে এক করে। রমনা বটমূলে প্রাণের এই মিলনমেলায় সবার আনন্দের মাঝে আমাদের নেটওয়ার্ক কর্মীরা ব্যস্ত সবার ফোনে নিরবচ্ছিন্ন নেটওয়ার্ক নিশ্চিত করতে।
পহেলা বৈশাখে ঐতিহ্যবাহী রমনা বটমূলের সুন্দর এই মুহূর্তগুলো উঠে এসেছে অনির্বাণ কায়সার-এর ক্যামেরায়!",1,,,
25,"বছর জুড়ে বাঙালি এই দিনটারই অপেক্ষায় থাকে। থাকবে না কেন! পহেলা বৈশাখ এমনই এক উৎসব যা আমাদের সবাইকে এক করে। রমনা বটমূলে প্রাণের এই মিলনমেলায় সবার আনন্দের মাঝে আমাদের নেটওয়ার্ক কর্মীরা ব্যস্ত সবার ফোনে নিরবচ্ছিন্ন নেটওয়ার্ক নিশ্চিত করতে।
পহেলা বৈশাখে ঐতিহ্যবাহী রমনা বটমূলের সুন্দর এই মুহূর্তগুলো উঠে এসেছে অনির্বাণ কায়সার-এর ক্যামেরায়!",1,,,
26,"বছর জুড়ে বাঙালি এই দিনটারই অপেক্ষায় থাকে। থাকবে না কেন! পহেলা বৈশাখ এমনই এক উৎসব যা আমাদের সবাইকে এক করে। রমনা বটমূলে প্রাণের এই মিলনমেলায় সবার আনন্দের মাঝে আমাদের নেটওয়ার্ক কর্মীরা ব্যস্ত সবার ফোনে নিরবচ্ছিন্ন নেটওয়ার্ক নিশ্চিত করতে।
পহেলা বৈশাখে ঐতিহ্যবাহী রমনা বটমূলের সুন্দর এই মুহূর্তগুলো উঠে এসেছে অনির্বাণ কায়সার-এর ক্যামেরায়!",1,,,
27,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,,,
28,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,,,
29,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,,,
30,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,,,
31,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,,,
32,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,,,
33,"এ যেন না ফিরেও ফেরা, দুর থেকেই মনের খবর নেয়া! 
প্রায় ৭০ লাখ প্রবাসীর পরিবার, বন্ধু, পরিজন অপেক্ষায় থাকে প্রিয় মানুষটির বাড়ি ফেরার। ঈদে বাড়ি না ফেরা মানুষদেরকে আপনজন, পাড়া-প্রতিবেশীদের সাথে ঈদের আনন্দ ভাগ করে নেয়ার সুযোগ করে দিতে আমরা গিয়েছিলাম মুন্সীগঞ্জে। 
প্রিয়জনের সাথে বড় পর্দায় দেখা হওয়ার মুহূর্তগুলো ক্যামেরায় তুলে এনেছেন জয়িতা ত্রিশা।
",0,,,
34,"এ যেন না ফিরেও ফেরা, দুর থেকেই মনের খবর নেয়া! 
প্রায় ৭০ লাখ প্রবাসীর পরিবার, বন্ধু, পরিজন অপেক্ষায় থাকে প্রিয় মানুষটির বাড়ি ফেরার। ঈদে বাড়ি না ফেরা মানুষদেরকে আপনজন, পাড়া-প্রতিবেশীদের সাথে ঈদের আনন্দ ভাগ করে নেয়ার সুযোগ করে দিতে আমরা গিয়েছিলাম মুন্সীগঞ্জে। 
প্রিয়জনের সাথে বড় পর্দায় দেখা হওয়ার মুহূর্তগুলো ক্যামেরায় তুলে এনেছেন জয়িতা ত্রিশা।
",0,,,
35,"এ যেন না ফিরেও ফেরা, দুর থেকেই মনের খবর নেয়া! 
প্রায় ৭০ লাখ প্রবাসীর পরিবার, বন্ধু, পরিজন অপেক্ষায় থাকে প্রিয় মানুষটির বাড়ি ফেরার। ঈদে বাড়ি না ফেরা মানুষদেরকে আপনজন, পাড়া-প্রতিবেশীদের সাথে ঈদের আনন্দ ভাগ করে নেয়ার সুযোগ করে দিতে আমরা গিয়েছিলাম মুন্সীগঞ্জে। 
প্রিয়জনের সাথে বড় পর্দায় দেখা হওয়ার মুহূর্তগুলো ক্যামেরায় তুলে এনেছেন জয়িতা ত্রিশা।
",0,,,
36,"ছোট বেড়ালটার মনেও বুঝি বাড়ি ফেরার আনন্দ!
আপনজনের প্রিয় মুখটা দেখতে, পাড়া-প্রতিবেশীদের সাথে আনন্দটুকু ভাগ করে নিতেই এই ছুটে যাওয়া। আর যাত্রাপথে কানেকশন যেন একদম ঠিকঠাক থাকে সেজন্যে কমলাপুর রেলস্টেশনে নিশ্চিত করা হয়েছে অতিরিক্ত নেটওয়ার্ক কাভারেজ। সবাই নিরাপদে বাড়ি ফিরুক, একসাথে ঈদ কাটুক।",1,,,
37,"ছোট বেড়ালটার মনেও বুঝি বাড়ি ফেরার আনন্দ!
আপনজনের প্রিয় মুখটা দেখতে, পাড়া-প্রতিবেশীদের সাথে আনন্দটুকু ভাগ করে নিতেই এই ছুটে যাওয়া। আর যাত্রাপথে কানেকশন যেন একদম ঠিকঠাক থাকে সেজন্যে কমলাপুর রেলস্টেশনে নিশ্চিত করা হয়েছে অতিরিক্ত নেটওয়ার্ক কাভারেজ। সবাই নিরাপদে বাড়ি ফিরুক, একসাথে ঈদ কাটুক।",1,,,
38,"সবার কাছে পৌঁছে যাচ্ছে “স্বপ্ন যাবে বাড়ি” টি-শার্ট। ঈদের নতুন স্টাইলে ঈদ সেলিব্রেট করতে আপনি কি রেডি?
৮৯৯ টাকার ইন্টারনেট বা ১১৯৯ টাকার কম্বো প্ল্যান নিলেই ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি! আজই নিয়ে রাখতে ভিজিট করুন গ্রামীণফোন-এর নির্দিষ্ট আউটলেটে।(স্টক সীমিত)",1,,,
39,"সবার কাছে পৌঁছে যাচ্ছে “স্বপ্ন যাবে বাড়ি” টি-শার্ট। ঈদের নতুন স্টাইলে ঈদ সেলিব্রেট করতে আপনি কি রেডি?
৮৯৯ টাকার ইন্টারনেট বা ১১৯৯ টাকার কম্বো প্ল্যান নিলেই ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি! আজই নিয়ে রাখতে ভিজিট করুন গ্রামীণফোন-এর নির্দিষ্ট আউটলেটে।(স্টক সীমিত)",1,,,
40,"সবার কাছে পৌঁছে যাচ্ছে “স্বপ্ন যাবে বাড়ি” টি-শার্ট। ঈদের নতুন স্টাইলে ঈদ সেলিব্রেট করতে আপনি কি রেডি?
৮৯৯ টাকার ইন্টারনেট বা ১১৯৯ টাকার কম্বো প্ল্যান নিলেই ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি! আজই নিয়ে রাখতে ভিজিট করুন গ্রামীণফোন-এর নির্দিষ্ট আউটলেটে।(স্টক সীমিত)",1,,,
41,"সবার কাছে পৌঁছে যাচ্ছে “স্বপ্ন যাবে বাড়ি” টি-শার্ট। ঈদের নতুন স্টাইলে ঈদ সেলিব্রেট করতে আপনি কি রেডি?
৮৯৯ টাকার ইন্টারনেট বা ১১৯৯ টাকার কম্বো প্ল্যান নিলেই ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি! আজই নিয়ে রাখতে ভিজিট করুন গ্রামীণফোন-এর নির্দিষ্ট আউটলেটে।(স্টক সীমিত)",1,,,
42,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,,,
43,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,,,
44,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,,,
45,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,,,
46,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,,,
47,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,,,
48,"এই প্রত্যন্ত অঞ্চলে বসেই দুনিয়ার খবর রাখছে নোয়াখালির মাইজদী বাজারের মানুষেরা।
এগিয়ে যাচ্ছে সবার মতোই নিরবচ্ছিন্ন নেটওয়ার্কে, ইন্টারনেটের শক্তিতে। সময়গুলো দারুণ করতে বন্ধুদের সাথে নিয়ে শিশুরাও ভিডিও দেখছে অনলাইনে। এমন অঞ্চলের মানুষদের সারাক্ষণ কানেক্টেড রাখতে আমরা আছি সূর্যের আলোয় চলিত সোলার নেটওয়ার্ক নিয়ে।   ",1,,,
